"box","section","x","y","edge_edi","altitude_m","northness","no_trees_75m","pnum","area_polygon","area_polygon_sqrt"
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19951B114",6591.42127386481,81.1875684687305
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19851B114",16755.1831637584,129.441813815159
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19941B114",6667.49870219082,81.654753090012
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19971B114",5990.57022987772,77.3987740851089
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19751B114",11673.0679867491,108.041973263862
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19611B114",2556.15244277741,50.5584062523475
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19831B114",6077.63097308204,77.9591622138286
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"20001B115",9425.46353653073,97.0848264999775
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19811B115",4940.75576037169,70.2905097461363
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19901B115",5735.22764065396,75.7312857454167
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19781B115",7134.70104220882,84.467159548601
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19661B115",10462.2716947126,102.285246710914
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19761B115",19665.0855150549,140.232255615657
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19861B115",6673.70057086088,81.692720427593
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19961B115",3053.04722274281,55.2543864570299
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"20031B115",4747.49226026237,68.9020483023718
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"19981B115",7966.56505932845,89.2556164021539
"B115","B",447806.72,207691.76,120.401,99.688,0.524024556,10,"20091B115",7464.66567446012,86.3982967104104
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"20221B116",10548.6103239679,102.706427861005
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19931B116",6719.56387658417,81.9729460040578
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"20021B116",6434.55886352807,80.2157021008236
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19681B116",7178.77086942177,84.7276275451034
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19661B116",6446.48293551314,80.2899927482444
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"20081B116",4266.74930209434,65.3203590168818
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19621B116",8470.30111601762,92.034238824568
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19721B116",7290.21028286126,85.3827282467669
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19741B116",14324.8452231765,119.686445444656
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19811B116",6386.91394095402,79.9181702803187
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19611B116",4017.72664280515,63.3855396979875
"B116","B",447853.72,207707.76,85.238,93.3178,-0.007791071,12,"19651B116",4508.75834754994,67.1472884601451
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"20091B117",9034.92522981204,95.0522236973551
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"20111B117",5682.64362226799,75.3833112981115
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"19601B117",2250.62967220368,47.4408017660292
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"20041B117",3547.49222227372,59.5608279179674
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"20051B117",3210.54171300121,56.6616423429573
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"20021B117",3699.45066247787,60.8231096087488
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"19711B117",2158.26705411961,46.4571528843472
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"19881B117",9096.03114194563,95.3731154044243
